"Time","Buses.On.Route","RouteID"
"1372838640","0","11Y"
"1372838700","0","11Y"
"1372838760","0","11Y"
"1372838820","0","11Y"
"1372838880","0","11Y"
"1372838940","0","11Y"
"1372839000","0","11Y"
"1372839060","0","11Y"
"1372839120","0","11Y"
"1372839180","0","11Y"
"1372839240","0","11Y"
"1372839300","0","11Y"
"1372839360","0","11Y"
"1372839420","0","11Y"
"1372839480","0","11Y"
"1372839540","0","11Y"
"1372839600","0","11Y"
"1372839660","0","11Y"
"1372839720","0","11Y"
"1372839780","0","11Y"
"1372839840","0","11Y"
"1372839900","0","11Y"
"1372839960","0","11Y"
"1372840020","0","11Y"
"1372840080","0","11Y"
"1372840140","0","11Y"
"1372840200","0","11Y"
"1372840260","0","11Y"
"1372840320","0","11Y"
"1372840380","0","11Y"
"1372840440","0","11Y"
"1372840500","0","11Y"
"1372840560","0","11Y"
"1372840620","0","11Y"
"1372840680","0","11Y"
"1372840740","0","11Y"
"1372840800","0","11Y"
"1372840860","0","11Y"
"1372840920","0","11Y"
"1372840980","0","11Y"
"1372841040","0","11Y"
"1372841100","0","11Y"
"1372841160","0","11Y"
"1372841220","0","11Y"
"1372841280","0","11Y"
"1372841340","0","11Y"
"1372841400","0","11Y"
"1372841460","0","11Y"
"1372841520","0","11Y"
"1372841580","0","11Y"
"1372841640","0","11Y"
"1372841700","0","11Y"
"1372841760","0","11Y"
"1372841820","0","11Y"
"1372841880","0","11Y"
"1372841940","0","11Y"
"1372842000","0","11Y"
"1372842060","0","11Y"
"1372842120","0","11Y"
"1372842180","0","11Y"
"1372842240","0","11Y"
"1372842300","0","11Y"
"1372842360","0","11Y"
"1372842420","0","11Y"
"1372842480","0","11Y"
"1372842540","0","11Y"
"1372842600","0","11Y"
"1372842660","0","11Y"
"1372842720","0","11Y"
"1372842780","0","11Y"
"1372842840","0","11Y"
"1372842900","0","11Y"
"1372842960","0","11Y"
"1372843020","0","11Y"
"1372843080","0","11Y"
"1372843140","0","11Y"
"1372843200","0","11Y"
"1372843260","0","11Y"
"1372843320","0","11Y"
"1372843380","0","11Y"
"1372843440","0","11Y"
"1372843500","0","11Y"
"1372843560","0","11Y"
"1372843620","0","11Y"
"1372843680","0","11Y"
"1372843740","0","11Y"
"1372843800","0","11Y"
"1372843860","0","11Y"
"1372843920","0","11Y"
"1372843980","0","11Y"
"1372844040","0","11Y"
"1372844100","0","11Y"
"1372844160","0","11Y"
"1372844220","0","11Y"
"1372844280","0","11Y"
"1372844340","0","11Y"
"1372844400","0","11Y"
"1372844460","0","11Y"
"1372844520","0","11Y"
"1372844580","0","11Y"
"1372844640","0","11Y"
"1372844700","0","11Y"
"1372844760","0","11Y"
"1372844820","0","11Y"
"1372844880","0","11Y"
"1372844940","0","11Y"
"1372845000","0","11Y"
"1372845060","0","11Y"
"1372845120","0","11Y"
"1372845180","0","11Y"
"1372845240","0","11Y"
"1372845300","0","11Y"
"1372845360","0","11Y"
"1372845420","0","11Y"
"1372845480","0","11Y"
"1372845540","0","11Y"
"1372845600","0","11Y"
"1372845660","0","11Y"
"1372845720","0","11Y"
"1372845780","0","11Y"
"1372845840","0","11Y"
"1372845900","0","11Y"
"1372845960","0","11Y"
"1372846020","0","11Y"
"1372846080","0","11Y"
"1372846140","0","11Y"
"1372846200","0","11Y"
"1372846260","0","11Y"
"1372846320","0","11Y"
"1372846380","0","11Y"
"1372846440","0","11Y"
"1372846500","0","11Y"
"1372846560","0","11Y"
"1372846620","0","11Y"
"1372846680","0","11Y"
"1372846740","0","11Y"
"1372846800","0","11Y"
"1372846860","0","11Y"
"1372846920","0","11Y"
"1372846980","0","11Y"
"1372847040","0","11Y"
"1372847100","0","11Y"
"1372847160","0","11Y"
"1372847220","0","11Y"
"1372847280","0","11Y"
"1372847340","0","11Y"
"1372847400","0","11Y"
"1372847460","0","11Y"
"1372847520","0","11Y"
"1372847580","0","11Y"
"1372847640","2","11Y"
"1372847700","2","11Y"
"1372847760","2","11Y"
"1372847820","2","11Y"
"1372847880","2","11Y"
"1372847940","2","11Y"
"1372848000","4","11Y"
"1372848060","4","11Y"
"1372848120","4","11Y"
"1372848180","4","11Y"
"1372848240","4","11Y"
"1372848300","4","11Y"
"1372848360","4","11Y"
"1372848420","4","11Y"
"1372848480","4","11Y"
"1372848540","4","11Y"
"1372848600","4","11Y"
"1372848660","4","11Y"
"1372848720","4","11Y"
"1372848780","4","11Y"
"1372848840","6","11Y"
"1372848900","6","11Y"
"1372848960","6","11Y"
"1372849020","6","11Y"
"1372849080","6","11Y"
"1372849140","6","11Y"
"1372849200","6","11Y"
"1372849260","6","11Y"
"1372849320","6","11Y"
"1372849380","6","11Y"
"1372849440","6","11Y"
"1372849500","6","11Y"
"1372849560","6","11Y"
"1372849620","6","11Y"
"1372849680","6","11Y"
"1372849740","6","11Y"
"1372849800","6","11Y"
"1372849860","6","11Y"
"1372849920","6","11Y"
"1372849980","6","11Y"
"1372850040","6","11Y"
"1372850100","8","11Y"
"1372850160","8","11Y"
"1372850220","8","11Y"
"1372850280","8","11Y"
"1372850340","6","11Y"
"1372850400","6","11Y"
"1372850460","6","11Y"
"1372850520","6","11Y"
"1372850580","6","11Y"
"1372850640","6","11Y"
"1372850700","6","11Y"
"1372850760","6","11Y"
"1372850820","6","11Y"
"1372850880","6","11Y"
"1372850940","6","11Y"
"1372851000","6","11Y"
"1372851060","6","11Y"
"1372851120","6","11Y"
"1372851180","6","11Y"
"1372851240","8","11Y"
"1372851300","8","11Y"
"1372851360","8","11Y"
"1372851420","8","11Y"
"1372851480","8","11Y"
"1372851540","8","11Y"
"1372851600","8","11Y"
"1372851660","8","11Y"
"1372851720","6","11Y"
"1372851780","6","11Y"
"1372851840","6","11Y"
"1372851900","8","11Y"
"1372851960","8","11Y"
"1372852020","8","11Y"
"1372852080","8","11Y"
"1372852140","8","11Y"
"1372852200","8","11Y"
"1372852260","8","11Y"
"1372852320","8","11Y"
"1372852380","8","11Y"
"1372852440","8","11Y"
"1372852500","8","11Y"
"1372852560","8","11Y"
"1372852620","8","11Y"
"1372852680","8","11Y"
"1372852740","8","11Y"
"1372852800","8","11Y"
"1372852860","8","11Y"
"1372852920","8","11Y"
"1372852980","8","11Y"
"1372853040","8","11Y"
"1372853100","8","11Y"
"1372853160","8","11Y"
"1372853220","8","11Y"
"1372853280","8","11Y"
"1372853340","8","11Y"
"1372853400","8","11Y"
"1372853460","8","11Y"
"1372853520","8","11Y"
"1372853580","8","11Y"
"1372853640","8","11Y"
"1372853700","8","11Y"
"1372853760","8","11Y"
"1372853820","8","11Y"
"1372853880","8","11Y"
"1372853940","8","11Y"
"1372854000","8","11Y"
"1372854060","6","11Y"
"1372854120","6","11Y"
"1372854180","6","11Y"
"1372854240","6","11Y"
"1372854300","6","11Y"
"1372854360","6","11Y"
"1372854420","6","11Y"
"1372854480","6","11Y"
"1372854540","6","11Y"
"1372854600","6","11Y"
"1372854660","6","11Y"
"1372854720","6","11Y"
"1372854780","6","11Y"
"1372854840","4","11Y"
"1372854900","4","11Y"
"1372854960","4","11Y"
"1372855020","4","11Y"
"1372855080","4","11Y"
"1372855140","4","11Y"
"1372855200","4","11Y"
"1372855260","4","11Y"
"1372855320","4","11Y"
"1372855380","4","11Y"
"1372855440","4","11Y"
"1372855500","4","11Y"
"1372855560","4","11Y"
"1372855620","4","11Y"
"1372855680","4","11Y"
"1372855740","2","11Y"
"1372855800","2","11Y"
"1372855860","2","11Y"
"1372855920","2","11Y"
"1372855980","2","11Y"
"1372856040","2","11Y"
"1372856100","2","11Y"
"1372856160","2","11Y"
"1372856220","2","11Y"
"1372856280","2","11Y"
"1372856340","2","11Y"
"1372856400","2","11Y"
"1372856460","2","11Y"
"1372856520","2","11Y"
"1372856580","2","11Y"
"1372856640","0","11Y"
"1372856700","0","11Y"
"1372856760","0","11Y"
"1372856820","0","11Y"
"1372856880","0","11Y"
"1372856940","0","11Y"
"1372857000","0","11Y"
"1372857060","0","11Y"
"1372857120","0","11Y"
"1372857180","0","11Y"
"1372857240","0","11Y"
"1372857300","0","11Y"
"1372857360","0","11Y"
"1372857420","0","11Y"
"1372857480","0","11Y"
"1372857540","0","11Y"
"1372857600","0","11Y"
"1372857660","0","11Y"
"1372857720","0","11Y"
"1372857780","0","11Y"
"1372857840","0","11Y"
"1372857900","0","11Y"
"1372857960","0","11Y"
"1372858020","0","11Y"
"1372858080","0","11Y"
"1372858140","0","11Y"
"1372858200","0","11Y"
"1372858260","0","11Y"
"1372858320","0","11Y"
"1372858380","0","11Y"
"1372858440","0","11Y"
"1372858500","0","11Y"
"1372858560","0","11Y"
"1372858620","0","11Y"
"1372858680","0","11Y"
"1372858740","0","11Y"
"1372858800","0","11Y"
"1372858860","0","11Y"
"1372858920","0","11Y"
"1372858980","0","11Y"
"1372859040","0","11Y"
"1372859100","0","11Y"
"1372859160","0","11Y"
"1372859220","0","11Y"
"1372859280","0","11Y"
"1372859340","0","11Y"
"1372859400","0","11Y"
"1372859460","0","11Y"
"1372859520","0","11Y"
"1372859580","0","11Y"
"1372859640","0","11Y"
"1372859700","0","11Y"
"1372859760","0","11Y"
"1372859820","0","11Y"
"1372859880","0","11Y"
"1372859940","0","11Y"
"1372860000","0","11Y"
"1372860060","0","11Y"
"1372860120","0","11Y"
"1372860180","0","11Y"
"1372860240","0","11Y"
"1372860300","0","11Y"
"1372860360","0","11Y"
"1372860420","0","11Y"
"1372860480","0","11Y"
"1372860540","0","11Y"
"1372860600","0","11Y"
"1372860660","0","11Y"
"1372860720","0","11Y"
"1372860780","0","11Y"
"1372860840","0","11Y"
"1372860900","0","11Y"
"1372860960","0","11Y"
"1372861020","0","11Y"
"1372861080","0","11Y"
"1372861140","0","11Y"
"1372861200","0","11Y"
"1372861260","0","11Y"
"1372861320","0","11Y"
"1372861380","0","11Y"
"1372861440","0","11Y"
"1372861500","0","11Y"
"1372861560","0","11Y"
"1372861620","0","11Y"
"1372861680","0","11Y"
"1372861740","0","11Y"
"1372861800","0","11Y"
"1372861860","0","11Y"
"1372861920","0","11Y"
"1372861980","0","11Y"
"1372862040","0","11Y"
"1372862100","0","11Y"
"1372862160","0","11Y"
"1372862220","0","11Y"
"1372862280","0","11Y"
"1372862340","0","11Y"
"1372862400","0","11Y"
"1372862460","0","11Y"
"1372862520","0","11Y"
"1372862580","0","11Y"
"1372862640","0","11Y"
"1372862700","0","11Y"
"1372862760","0","11Y"
"1372862820","0","11Y"
"1372862880","0","11Y"
"1372862940","0","11Y"
"1372863000","0","11Y"
"1372863060","0","11Y"
"1372863120","0","11Y"
"1372863180","0","11Y"
