"DirectionNum","EndTime","RouteID","StartTime"
"0","2013-07-03T06:56:00","16Y","2013-07-03T06:25:00"
"0","2013-07-03T07:08:00","16Y","2013-07-03T06:37:00"
"0","2013-07-03T07:23:00","16Y","2013-07-03T06:47:00"
"0","2013-07-03T07:33:00","16Y","2013-07-03T06:57:00"
"0","2013-07-03T07:42:00","16Y","2013-07-03T07:06:00"
"0","2013-07-03T07:57:00","16Y","2013-07-03T07:15:00"
"0","2013-07-03T08:05:00","16Y","2013-07-03T07:23:00"
"0","2013-07-03T08:12:00","16Y","2013-07-03T07:30:00"
"0","2013-07-03T08:18:00","16Y","2013-07-03T07:36:00"
"0","2013-07-03T08:24:00","16Y","2013-07-03T07:42:00"
"0","2013-07-03T08:30:00","16Y","2013-07-03T07:48:00"
"0","2013-07-03T08:36:00","16Y","2013-07-03T07:54:00"
"0","2013-07-03T08:46:00","16Y","2013-07-03T08:00:00"
"0","2013-07-03T08:52:00","16Y","2013-07-03T08:06:00"
"0","2013-07-03T08:58:00","16Y","2013-07-03T08:12:00"
"0","2013-07-03T09:04:00","16Y","2013-07-03T08:18:00"
"0","2013-07-03T09:10:00","16Y","2013-07-03T08:24:00"
"0","2013-07-03T09:14:00","16Y","2013-07-03T08:32:00"
"0","2013-07-03T09:22:00","16Y","2013-07-03T08:40:00"
"0","2013-07-03T09:32:00","16Y","2013-07-03T08:50:00"
"0","2013-07-03T09:42:00","16Y","2013-07-03T09:00:00"
"1","2013-07-03T05:51:00","31","2013-07-03T05:25:00"
"1","2013-07-03T06:22:00","31","2013-07-03T05:55:00"
"1","2013-07-03T06:57:00","31","2013-07-03T06:20:00"
"1","2013-07-03T07:12:00","31","2013-07-03T06:35:00"
"1","2013-07-03T07:27:00","31","2013-07-03T06:50:00"
"1","2013-07-03T07:54:00","31","2013-07-03T07:10:00"
"1","2013-07-03T08:11:00","31","2013-07-03T07:27:00"
"1","2013-07-03T08:26:00","31","2013-07-03T07:42:00"
"1","2013-07-03T08:41:00","31","2013-07-03T07:57:00"
"1","2013-07-03T08:58:00","31","2013-07-03T08:12:00"
"1","2013-07-03T09:11:00","31","2013-07-03T08:27:00"
"1","2013-07-03T09:26:00","31","2013-07-03T08:42:00"
"1","2013-07-03T09:41:00","31","2013-07-03T08:57:00"
"1","2013-07-03T09:57:00","31","2013-07-03T09:12:00"
"1","2013-07-03T10:12:00","31","2013-07-03T09:27:00"
"1","2013-07-03T10:27:00","31","2013-07-03T09:42:00"
"1","2013-07-03T10:53:00","31","2013-07-03T10:08:00"
"1","2013-07-03T11:23:00","31","2013-07-03T10:38:00"
"1","2013-07-03T11:53:00","31","2013-07-03T11:08:00"
"1","2013-07-03T12:23:00","31","2013-07-03T11:38:00"
"1","2013-07-03T12:53:00","31","2013-07-03T12:08:00"
"1","2013-07-03T13:23:00","31","2013-07-03T12:38:00"
"1","2013-07-03T13:53:00","31","2013-07-03T13:08:00"
"1","2013-07-03T14:23:00","31","2013-07-03T13:38:00"
"1","2013-07-03T14:53:00","31","2013-07-03T14:06:00"
"1","2013-07-03T15:22:00","31","2013-07-03T14:35:00"
"1","2013-07-03T15:36:00","31","2013-07-03T14:49:00"
"1","2013-07-03T15:46:00","31","2013-07-03T14:59:00"
"1","2013-07-03T16:05:00","31","2013-07-03T15:13:00"
"1","2013-07-03T16:20:00","31","2013-07-03T15:28:00"
"1","2013-07-03T16:34:00","31","2013-07-03T15:43:00"
"1","2013-07-03T16:49:00","31","2013-07-03T15:58:00"
"1","2013-07-03T17:04:00","31","2013-07-03T16:13:00"
"1","2013-07-03T17:19:00","31","2013-07-03T16:28:00"
"1","2013-07-03T17:34:00","31","2013-07-03T16:43:00"
"1","2013-07-03T17:50:00","31","2013-07-03T16:58:00"
"1","2013-07-03T18:04:00","31","2013-07-03T17:14:00"
"1","2013-07-03T18:19:00","31","2013-07-03T17:29:00"
"1","2013-07-03T18:34:00","31","2013-07-03T17:44:00"
"1","2013-07-03T18:49:00","31","2013-07-03T17:59:00"
"1","2013-07-03T18:58:00","31","2013-07-03T18:14:00"
"1","2013-07-03T19:28:00","31","2013-07-03T18:44:00"
"1","2013-07-03T19:58:00","31","2013-07-03T19:14:00"
"1","2013-07-03T20:28:00","31","2013-07-03T19:44:00"
"1","2013-07-03T20:43:00","31","2013-07-03T20:06:00"
"1","2013-07-03T21:13:00","31","2013-07-03T20:36:00"
"1","2013-07-03T21:43:00","31","2013-07-03T21:07:00"
"1","2013-07-03T22:13:00","31","2013-07-03T21:37:00"
"1","2013-07-03T22:46:00","31","2013-07-03T22:10:00"
"1","2013-07-03T23:16:00","31","2013-07-03T22:40:00"
"1","2013-07-03T23:46:00","31","2013-07-03T23:10:00"
"0","2013-07-03T06:31:00","31","2013-07-03T05:59:00"
"0","2013-07-03T07:01:00","31","2013-07-03T06:29:00"
"0","2013-07-03T07:15:00","31","2013-07-03T06:41:00"
"0","2013-07-03T07:31:00","31","2013-07-03T06:54:00"
"0","2013-07-03T07:46:00","31","2013-07-03T07:09:00"
"0","2013-07-03T08:02:00","31","2013-07-03T07:20:00"
"0","2013-07-03T08:17:00","31","2013-07-03T07:35:00"
"0","2013-07-03T08:32:00","31","2013-07-03T07:50:00"
"0","2013-07-03T08:47:00","31","2013-07-03T08:05:00"
"0","2013-07-03T09:02:00","31","2013-07-03T08:20:00"
"0","2013-07-03T09:17:00","31","2013-07-03T08:35:00"
"0","2013-07-03T09:32:00","31","2013-07-03T08:50:00"
"0","2013-07-03T09:59:00","31","2013-07-03T09:13:00"
"0","2013-07-03T10:29:00","31","2013-07-03T09:43:00"
"0","2013-07-03T10:59:00","31","2013-07-03T10:13:00"
"0","2013-07-03T11:29:00","31","2013-07-03T10:43:00"
"0","2013-07-03T11:59:00","31","2013-07-03T11:13:00"
"0","2013-07-03T12:29:00","31","2013-07-03T11:43:00"
"0","2013-07-03T12:59:00","31","2013-07-03T12:13:00"
"0","2013-07-03T13:29:00","31","2013-07-03T12:43:00"
"0","2013-07-03T13:59:00","31","2013-07-03T13:13:00"
"0","2013-07-03T14:29:00","31","2013-07-03T13:43:00"
"0","2013-07-03T14:59:00","31","2013-07-03T14:13:00"
"0","2013-07-03T15:29:00","31","2013-07-03T14:43:00"
"0","2013-07-03T15:59:00","31","2013-07-03T15:13:00"
"0","2013-07-03T16:16:00","31","2013-07-03T15:30:00"
"0","2013-07-03T16:30:00","31","2013-07-03T15:46:00"
"0","2013-07-03T16:47:00","31","2013-07-03T16:03:00"
"0","2013-07-03T17:03:00","31","2013-07-03T16:19:00"
